????abandon,/ ?’b?nd?n/                                             ,vt.丢弃；放弃，抛弃
　　swear,/ swe?/                                             ,vt.宣(誓) vi.诅咒
　　sweater,/ ‘swet?/                                             ,n.厚运动衫，毛线衫
　　sweep,/ swi:p/                                             ,vt.扫；刮起；扫过
　　swell,/ swel/                                             ,vi.膨胀；隆起；增长
　　swift,/ swift/                                             ,a.快的；反应快的
　　swing,/ swi?/                                             ,vi.摇摆；回转 n.摇摆
　　switch,/ swit?/                                             ,n.开关；转换 vt.转换
　　sword,/ s?:d/                                             ,n.剑，刀
　　symbol,/ ‘simb?l/                                             ,n.象征；符号，记号
　　sympathetic,/ simp?’θetik/                                             ,a.同情的；和谐的
　　sympathize,/ ‘simp?θaiz/                                             ,vi.同情；同感，共鸣
　　synthetic,/ sin’θetik/                                             ,a.综合的；合成的
　　systematic(al,)/                                             ,sisti’m?tik(?l)/                                                                                               a.有系统的；有计划的
T,,
,,
tag/                                                                                              ,t?g/                                             ,n.附加语；标签
　　tailor,/ ‘teil?/                                             ,n.裁缝 vt.裁制衣服
,,
,,
,,
　　tale,/ teil/                                             ,n.故事，传说
　　talent,/ ‘t?l?nt/                                             ,n.天才；才能；人才
　　talk,/ t?:k/                                             ,vi.讲话 vt.谈论
　　tame,/ teim/                                             ,a.驯服的；顺从的
　　tank,/ t??k/                                             ,n.坦克；大容器，槽
　　tap,/ t?p/                                             ,vt.&vi.&n.轻叩
　　tap,/ t?p/                                             ,n.塞子；龙头 vt.开发
　　taste,/ teist/                                             ,n.味觉，品味
　　technical,/ ‘teknik?l/                                             ,a.技术的，工艺的
　　technician,/ tek’ni??n/                                             ,n.技术员，技师
　　tedious,/ ‘ti:di?s/                                             ,a.冗长乏味的，沉闷的
　　telegram,/ ‘teligr?m/                                             ,n.电报
　　telescope,/ ‘telisk?up/                                             ,n.望远镜
　　temple,/ ‘templ/                                             ,n.圣堂，神殿，庙宇
　　temporary,/ ‘temp?r?ri/                                             ,a.暂时的，临时的
　　tempt,/ tempt/                                             ,vt.引诱，诱惑；吸引
　　temptation,/ temp’tei??n/                                             ,n.诱惑，引诱
　　tend,/ tend/                                             ,vt.照管，照料，护理
　　tend,/ tend/                                             ,vi.走向，趋向；倾向
　　tendency,/ ‘tend?nsi/                                             ,n.趋向，趋势，倾向
　　tender,/ ‘tend?/                                             ,a.嫩的；脆弱的
　　tense,/ tens/                                             ,n.时态，时
　　tense,/ tens/                                             ,a.拉紧的，绷紧的
